decimalLatitude decimalLongitude scientificName
6.20684 -75.542166 "Buteo magnirostris"
6.325747 -75.522549 "Buteo magnirostris"
6.1672 -75.58325 "Buteo magnirostris"
6.0 -75.8166 "Buteo magnirostris"
6.20786 -75.7341 "Buteo magnirostris"
7.0302 -75.5905 "Buteo magnirostris"
6.77417 -74.51783 "Buteo magnirostris"
6.1705 -75.5844 "Buteo magnirostris"
6.469824 -75.332517 "Buteo magnirostris"
5.2 -76.1 "Buteo magnirostris"
2.5333 -76.95 "Buteo magnirostris"
1.3666 -72.6833 "Buteo magnirostris"
6.0583 -75.1852 "Buteo magnirostris"
6.283 -75.56733 "Buteo magnirostris"
6.25 -75.5833 "Buteo magnirostris"
6.9166 -75.8333 "Buteo magnirostris"
10.496094 -73.159612 "Buteo magnirostris"
6.4224 -76.0028 "Buteo magnirostris"
3.605 -76.4314 "Buteo magnirostris"
5.04 -76.0833 "Buteo magnirostris"
7.0419 -75.9558 "Buteo magnirostris"
6.179308 -75.580886 "Buteo magnirostris"
5.975 -75.7083 "Buteo magnirostris"
6.0167 -75.45 "Buteo magnirostris"
6.1705 -75.5844 "Buteo magnirostris"
7.4666 -74.9 "Buteo magnirostris"
6.706389 -75.758889 "Buteo magnirostris"
4.758699 -75.541833 "Buteo magnirostris"
3.566302 -76.563878 "Buteo magnirostris"
6.55081 -75.21748 "Buteo magnirostris"
4.676556 -75.601308 "Buteo magnirostris"
6.7833 -75.7833 "Buteo magnirostris"
5.926454 -75.676213 "Buteo magnirostris"
9.5833 -75.6667 "Buteo magnirostris"
4.6166 -75.7735 "Buteo magnirostris"
6.136785 -75.364405 "Buteo magnirostris"
7.4666 -74.9 "Buteo magnirostris"
3.76667 -77.10833 "Buteo magnirostris"
6.4164 -74.2742 "Buteo magnirostris"
6.3 -75.0666 "Buteo magnirostris"
6.1497 -75.2972 "Buteo magnirostris"
6.25 -76.3333 "Buteo magnirostris"
4.758699 -75.56 "Buteo magnirostris"
2.7833 -76.7833 "Buteo magnirostris"
6.0586 -75.503 "Buteo magnirostris"
6.049059 -75.689681 "Buteo magnirostris"
1.833 -77.9167 "Buteo magnirostris"
11.311238 -73.943964 "Buteo magnirostris"
4.6167 -75.45 "Buteo magnirostris"
7.476243 -72.47094 "Buteo magnirostris"
6.0167 -75.45 "Buteo magnirostris"
6.270278 -75.191181 "Buteo magnirostris"
3.444398 -76.564295 "Buteo magnirostris"
5.04 -76.0833 "Buteo magnirostris"
5.926454 -75.676213 "Buteo magnirostris"
6.706389 -75.758889 "Buteo magnirostris"
7.08247 -75.156713 "Buteo magnirostris"
6.0256 -75.3931 "Buteo magnirostris"
6.495603 -75.302086 "Buteo magnirostris"
